,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
68,8,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
67,8,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
66,8,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
65,8,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
64,8,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
42,5,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
40,5,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
1,1,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
39,5,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
18,3,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
17,2,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
16,2,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
15,2,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
14,2,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
13,2,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
12,2,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
11,2,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
10,2,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
9,2,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
8,1,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
7,1,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
6,1,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
5,1,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
4,1,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
3,1,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
2,1,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
19,3,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
20,3,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
21,3,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
31,4,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
38,5,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
37,5,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
36,5,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
35,4,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
34,4,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
33,4,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
32,4,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
30,4,5,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
22,3,6,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
29,4,4,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
28,4,3,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
27,4,2,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 100, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
26,3,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
25,3,9,"{'criterion': 'mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
24,3,8,"{'criterion': 'mae', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",163,17
23,3,7,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'exponential', 'max_features': 'sqrt', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
80,9,10,"{'criterion': 'friedman_mse', 'learning_rate': 1, 'loss': 'deviance', 'max_features': 'log2', 'n_estimators': 200, 'warm_start': True}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
