,SmoteKNeighbours,KFoldCV,BestHyperParameters,TrainAccuracy,TestAccuracy,LogLoss,TrainConfusionMatrix,TestConfusionMatrix,UnlabelledClass1,UnlabelledClass2
16,2,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
15,2,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
14,2,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
13,2,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
12,2,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
11,2,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
10,2,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
9,2,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
8,1,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
7,1,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
6,1,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
5,1,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
4,1,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
3,1,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
2,1,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
19,3,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
20,3,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
21,3,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
31,4,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
38,5,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
37,5,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
36,5,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
35,4,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
34,4,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
33,4,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
32,4,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
30,4,5,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
22,3,6,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
29,4,4,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 100}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",161,19
28,4,3,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
27,4,2,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 50}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",162,18
26,3,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
25,3,9,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
24,3,8,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
23,3,7,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
80,9,10,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 200}",1.0,1.0,17.269787996170443,"[[140   0]
 [  0 140]]","[[16  0]
 [ 0 16]]",159,21
